序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,Data
0,21:49:58.640,0x9886CC,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 53 74 61 74 65 3A 43 4C 
1,21:49:58.640,0x9886CD,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 4F 53 45 20 74 6F 20 52 
2,21:49:58.640,0x9886CE,ch1,接收,0x0100,数据帧,标准帧,0x06,x| 45 41 44 59 21 0A 
3,21:50:12.080,0x9A93E5,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 43 68 75 6E 6B 49 44 3A 
4,21:50:12.080,0x9A93E7,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 30 0A 69 56 42 4F 52 77 
5,21:50:12.080,0x9A93E9,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 30 4B 47 67 6F 41 41 41 
6,21:50:12.080,0x9A93EA,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 41 4E 53 55 68 45 55 67 
7,21:50:12.080,0x9A93EC,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 41 41 42 34 41 41 41 41 
8,21:50:12.080,0x9A93EE,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 51 34 43 41 59 41 41 41 
9,21:50:12.080,0x9A93F0,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 44 6F 30 38 46 44 41 41 
10,21:50:12.080,0x9A93F1,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 41 41 42 48 4E 43 53 56 
11,21:50:12.080,0x9A93F3,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 51 49 43 41 67 49 66 41 
12,21:50:12.080,0x9A93F5,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 68 6B 69 41 41 41 49 41 
13,21:50:12.080,0x9A93F6,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 42 4A 52 45 46 55 0A 65 
14,21:50:12.080,0x9A93F8,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 4A 79 30 76 56 74 76 49 
15,21:50:12.080,0x9A93FA,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 30 6C 7A 72 5A 31 46 55 
16,21:50:12.080,0x9A93FD,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 71 52 49 64 61 75 37 70 
17,21:50:12.080,0x9A9400,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 32 66 47 41 78 75 47 62 
18,21:50:12.080,0x9A9403,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 2F 7A 2F 66 39 59 47 58 
19,21:50:12.080,0x9A9405,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 73 50 32 54 49 39 4F 31 
20,21:50:12.080,0x9A9408,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 49 6E 31 58 51 69 72 39 
21,21:50:12.080,0x9A940B,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 4E 54 53 69 69 7A 32 75 
22,21:50:12.080,0x9A940E,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 2F 65 58 67 43 43 79 4B 
23,21:50:12.080,0x9A9411,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 69 73 7A 0A 7A 68 47 4D 
24,21:50:12.080,0x9A9413,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 79 4D 77 61 72 71 36 75 
25,21:50:12.080,0x9A9416,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 78 74 5A 61 47 38 65 78 
26,21:50:12.080,0x9A9419,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 39 64 6F 77 44 47 30 63 
27,21:50:12.080,0x9A941C,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 78 2B 6C 2F 64 58 30 59 
28,21:50:12.080,0x9A941F,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 68 75 34 34 2F 70 77 2F 
29,21:50:12.080,0x9A9421,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 34 2B 50 7A 75 75 44 30 
30,21:50:12.080,0x9A9424,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 7A 77 6D 65 39 4A 31 7A 
31,21:50:12.080,0x9A9427,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 63 6B 79 32 63 52 7A 62 
32,21:50:12.080,0x9A942A,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 61 72 57 61 2B 6E 43 2B 
33,21:50:12.080,0x9A942C,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 0A 42 4A 74 66 63 33 78 
34,21:50:12.080,0x9A942F,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 38 37 6F 70 65 46 63 34 
35,21:50:12.110,0x9A9432,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 4A 33 7A 53 32 74 39 50 
36,21:50:12.110,0x9A9435,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 70 31 49 5A 68 2B 4E 41 
37,21:50:12.110,0x9A9438,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 2F 30 61 50 69 58 57 39 
38,21:50:12.110,0x9A943A,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 38 58 6B 2F 6A 39 70 35 
39,21:50:12.110,0x9A943D,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 66 75 74 37 44 6E 39 63 
40,21:50:12.110,0x9A9440,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 72 4F 45 36 6E 30 34 79 
41,21:50:12.110,0x9A9443,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 48 50 66 72 31 36 46 2F 
42,21:50:12.110,0x9A9446,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 68 76 4D 52 48 0A 7A 6B 
43,21:50:12.110,0x9A9448,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 45 2B 39 4F 41 35 52 33 
44,21:50:12.110,0x9A944B,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 66 4F 6F 65 65 53 48 46 
45,21:50:12.110,0x9A944E,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 57 38 57 73 4B 33 4E 35 
46,21:50:12.110,0x9A9451,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 62 44 6B 76 44 74 38 58 
47,21:50:12.110,0x9A9454,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 47 31 57 72 58 58 31 39 
48,21:50:12.110,0x9A9456,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 65 75 6E 76 56 77 72 58 
49,21:50:12.110,0x9A9459,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 54 51 37 55 76 31 72 49 
50,21:50:12.110,0x9A945C,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 39 64 34 58 33 4F 47 4F 
51,21:50:12.110,0x9A945F,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 66 51 6F 70 71 4C 4D 6C 
52,21:50:12.110,0x9A9462,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 76 52 0A 7A 57 6E 6B 31 
53,21:50:12.110,0x9A9464,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 39 68 36 65 70 76 36 4F 
54,21:50:12.110,0x9A9467,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 6F 7A 6E 34 46 6A 68 34 
55,21:50:12.110,0x9A946A,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 7A 53 6F 62 46 64 50 4C 
56,21:50:12.110,0x9A946D,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 6C 32 50 66 5A 34 30 68 
57,21:50:12.110,0x9A9470,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 31 39 50 39 79 75 64 39 
58,21:50:12.110,0x9A9472,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 2B 75 4A 66 36 76 56 71 
59,21:50:12.110,0x9A9475,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 70 31 4F 70 30 69 33 63 
60,21:50:12.110,0x9A9478,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 35 74 34 6E 66 42 4C 64 
61,21:50:12.110,0x9A947B,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 45 37 77 72 6C 61 72 0A 
62,21:50:12.110,0x9A947D,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 47 59 7A 65 62 37 56 61 
63,21:50:12.110,0x9A9480,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 52 52 34 76 2B 62 4B 71 
64,21:50:12.110,0x9A9483,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 4A 56 76 50 4D 53 70 61 
65,21:50:12.110,0x9A9486,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 73 35 46 75 56 53 4E 4E 
66,21:50:12.110,0x9A9489,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 65 6E 54 74 78 52 73 39 
67,21:50:12.110,0x9A948B,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 76 61 32 75 56 64 66 50 
68,21:50:12.110,0x9A948E,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 38 64 48 65 6C 39 65 6F 
69,21:50:12.110,0x9A9491,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 32 34 6C 50 6D 38 31 6D 
70,21:50:12.110,0x9A9494,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 2B 69 36 38 76 52 2F 48 
71,21:50:12.110,0x9A9497,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 53 4C 68 4B 0A 56 33 69 
