序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,Data
72,21:50:12.110,0x9A9499,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 4E 74 6B 47 66 31 65 64 
73,21:50:12.110,0x9A949C,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 30 4F 72 58 54 36 54 54 
74,21:50:12.110,0x9A949F,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 64 6C 2B 33 6C 74 55 72 
75,21:50:12.110,0x9A94A2,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 6E 6B 75 77 54 6E 33 50 
76,21:50:12.110,0x9A94A5,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 74 64 69 38 4F 38 66 45 
77,21:50:12.110,0x9A94A7,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 54 48 48 35 66 66 74 62 
78,21:50:12.110,0x9A94AA,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 37 39 57 4B 47 63 2B 53 
79,21:50:12.110,0x9A94AD,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 72 73 72 2F 2F 4C 33 31 
80,21:50:12.110,0x9A94B0,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 33 75 75 61 79 31 49 74 
81,21:50:12.110,0x9A94B2,ch1,接收,0x0100,数据帧,标准帧,0x02,x| 64 0A 
82,21:50:12.110,0x9A9528,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 71 76 45 71 6D 70 37 7A 
83,21:50:12.110,0x9A9529,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 54 49 56 44 7A 77 39 36 
84,21:50:12.110,0x9A952B,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 36 2F 6C 5A 74 33 73 2F 
85,21:50:12.110,0x9A952C,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 41 30 64 36 35 74 77 34 
86,21:50:12.110,0x9A952E,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 35 52 78 37 76 65 54 7A 
87,21:50:12.110,0x9A952F,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 76 4D 2B 53 6A 2B 4E 59 
88,21:50:12.110,0x9A9531,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 35 2B 4C 6C 65 46 54 66 
89,21:50:12.110,0x9A9532,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 6C 78 70 39 7A 64 4B 38 
90,21:50:12.110,0x9A9534,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 53 37 7A 30 63 5A 66 6D 
91,21:50:12.110,0x9A9535,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 54 58 77 35 0A 35 7A 35 
92,21:50:12.110,0x9A9537,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 31 72 35 70 2F 61 65 34 
93,21:50:12.110,0x9A953A,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 71 6C 74 4A 6E 38 6F 75 
94,21:50:12.110,0x9A953D,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 38 32 65 2F 33 37 64 75 
95,21:50:12.110,0x9A9540,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 33 62 2B 33 36 2B 6E 72 
96,21:50:12.110,0x9A9542,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 36 32 32 77 32 62 62 31 
97,21:50:12.110,0x9A9545,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 65 7A 33 7A 54 65 72 31 
98,21:50:12.110,0x9A9548,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 75 4C 79 38 76 45 32 33 
99,21:50:12.110,0x9A954B,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 48 63 57 7A 48 34 37 47 
100,21:50:12.110,0x9A954E,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 74 31 2B 76 32 2F 50 7A 
101,21:50:12.110,0x9A9550,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 63 0A 6E 70 2B 66 32 2B 
102,21:50:12.110,0x9A9553,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 6C 30 61 6A 63 33 4E 2B 
103,21:50:12.110,0x9A9556,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 33 35 2B 62 6C 74 4E 70 
104,21:50:12.110,0x9A9559,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 74 32 63 58 48 52 4C 69 
105,21:50:12.110,0x9A955B,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 34 75 32 6E 61 37 62 53 
106,21:50:12.110,0x9A955E,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 38 76 4C 32 30 59 68 72 
107,21:50:12.110,0x9A9561,ch1,接收,0x0100,数据帧,标准帧,0x06,x| 5A 65 72 79 63 59 
