序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,Data
7,20:30:38.825,0xB013BB35,ch1,接收,0x0321,数据帧,标准帧,0x08,x| FF D8 FF E0 00 10 4A 46 
8,20:30:38.825,0xB013BB36,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 49 46 00 01 01 00 00 01 
9,20:30:38.825,0xB013BB38,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 01 01 01 01 01 01 01 01 
10,20:30:38.825,0xB013BB39,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 00 00 00 00 00 00 01 02 
11,20:30:38.825,0xB013BB3A,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 00 00 00 00 00 00 00 00 
12,20:30:38.825,0xB013BB3B,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 0A 0A 94 8D 0B 5E 83 E9 
13,20:30:38.825,0xB013BB3C,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 4B F6 FA 87 7A BF C3 7F 
14,20:30:38.825,0xB013BB3D,ch1,接收,0x0321,数据帧,标准帧,0x08,x| F8 A5 02 E9 4F FA 43 16 
15,20:30:38.825,0xB013BB3F,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 14 E2 61 80 49 51 1F 58 
16,20:30:38.825,0xB013BB40,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 70 C0 BB CB 41 07 89 1E 
17,20:30:38.825,0xB013BB41,ch1,接收,0x0321,数据帧,标准帧,0x08,x| F1 ED 40 12 91 95 42 01 
18,20:30:38.825,0xB013BB42,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 33 38 E7 7B F1 35 B9 29 
19,20:30:38.825,0xB013BB43,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 88 01 CA 48 4B C9 27 7F 
20,20:30:38.825,0xB013BB44,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 44 38 20 14 5C 6E 36 16 
21,20:30:38.825,0xB013BB45,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 65 3E 25 66 62 E6 0E 6B 
