序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,Data
35,16:59:01.113,0x2CEB6F72,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 52 65 61 64 79 00 00 00 
36,16:59:01.113,0x2CEB6F7F,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 0D 0A 61 64 79 00 00 00 
37,16:59:14.554,0x2CED7CB3,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 69 56 42 4F 52 77 30 4B 
38,16:59:14.584,0x2CED7CBE,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 47 67 6F 41 41 41 41 4E 
39,16:59:14.584,0x2CED7CC9,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 53 55 68 45 55 67 41 41 
40,16:59:14.584,0x2CED7CD4,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 42 34 41 41 41 41 51 34 
41,16:59:14.584,0x2CED7CDF,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 43 41 59 41 41 41 44 6F 
42,16:59:14.584,0x2CED7CEA,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 30 38 46 44 41 41 41 41 
43,16:59:14.584,0x2CED7CF5,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 42 48 4E 43 53 56 51 49 
44,16:59:14.584,0x2CED7D00,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 43 41 67 49 66 41 68 6B 
45,16:59:14.584,0x2CED7D0B,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 69 41 41 41 49 41 42 4A 
46,16:59:14.584,0x2CED7D16,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 52 45 46 55 0A 65 4A 79 
47,16:59:14.584,0x2CED7D21,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 63 6E 66 75 4F 49 37 6D 
48,16:59:14.584,0x2CED7D2C,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 52 39 5A 6C 53 56 55 6D 
49,16:59:14.584,0x2CED7D37,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 71 36 75 6D 32 31 7A 5A 
50,16:59:14.584,0x2CED7D42,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 67 37 46 76 73 47 2B 36 
51,16:59:14.584,0x2CED7D4D,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 62 37 73 4C 59 67 54 32 
52,16:59:14.584,0x2CED7D58,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 32 78 39 50 54 64 5A 50 
53,16:59:14.584,0x2CED7D63,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 71 6F 76 7A 2B 36 4F 39 
54,16:59:14.584,0x2CED7D6E,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 51 50 35 30 36 77 64 53 
55,16:59:14.584,0x2CED7D79,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 59 67 43 41 70 6B 35 65 
56,16:59:14.584,0x2CED7D84,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 34 0A 52 35 43 52 5A 45 
57,16:59:14.584,0x2CED7D8F,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 37 2F 39 56 2F 2F 4E 62 
58,16:59:14.584,0x2CED7D9A,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 64 51 70 6D 6C 71 38 7A 
59,16:59:14.584,0x2CED7DA5,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 79 33 65 5A 37 62 4E 45 
60,16:59:14.584,0x2CED7DB0,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 32 74 74 64 5A 2F 7A 2F 
61,16:59:14.584,0x2CED7DBB,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 50 63 36 2B 69 36 72 76 
62,16:59:14.584,0x2CED7DC6,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 6E 31 31 57 72 31 34 62 
63,16:59:14.584,0x2CED7DD1,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 36 50 6F 66 6F 63 77 33 
64,16:59:14.584,0x2CED7DDC,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 2F 7A 50 32 48 77 63 56 
65,16:59:14.584,0x2CED7DE7,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 70 72 62 62 56 61 0A 6E 
66,16:59:14.613,0x2CED7DF2,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 63 48 68 59 77 6D 65 34 
