序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,Data
0,15:10:46.715,0x290DB1BA,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 69 56 42 4F 52 77 30 4B 
1,15:10:46.715,0x290DB1BB,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 47 67 6F 41 41 41 41 4E 
2,15:10:46.715,0x290DB1BC,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 2F 48 59 2B 7A 73 65 6A 
3,15:10:46.715,0x290DB1BD,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 5A 65 72 39 74 6D 73 32 
4,15:10:46.715,0x290DB1BE,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 32 5A 7A 62 38 65 44 78 
5,15:10:46.715,0x290DB1BF,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 6C 2F 62 32 39 74 62 65 
6,15:10:46.715,0x290DB1C0,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 31 77 76 70 66 76 79 70 
7,15:10:46.715,0x290DB1C2,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 33 57 75 71 2F 59 53 54 
8,15:10:46.715,0x290DB1C3,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 58 46 4F 50 75 64 72 74 
9,15:10:46.715,0x290DB1C4,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 57 44 68 50 71 47 7A 66 
10,15:10:46.715,0x290DB1C5,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 4A 79 78 67 6E 5A 0A 5A 
11,15:10:46.715,0x290DB1C6,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 64 62 6D 35 75 0A 65 67 
12,15:10:46.715,0x290DB1C7,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 36 49 76 54 43 75 46 77 
13,15:10:46.715,0x290DB1C8,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 2B 70 2F 32 72 4D 56 46 
14,15:10:46.715,0x290DB1C9,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 42 4F 57 36 38 78 36 59 
15,15:10:46.715,0x290DB1CB,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 76 62 62 2F 66 39 2F 6D 
16,15:10:46.715,0x290DB1CC,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 6C 53 54 50 53 2F 37 43 
17,15:10:46.715,0x290DB1CD,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 4B 70 43 68 52 33 78 4D 
18,15:10:46.715,0x290DB1CE,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 76 6A 59 76 63 38 7A 32 
19,15:10:46.715,0x290DB1CF,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 41 32 6D 74 73 30 56 55 
20,15:10:46.715,0x290DB1D0,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 72 75 49 61 34 62 66 5A 
21,15:10:46.715,0x290DB1D1,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 4D 71 32 73 36 54 2B 48 
22,15:10:46.715,0x290DB1D2,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 6D 76 4A 37 65 53 72 48 
23,15:10:46.715,0x290DB1D4,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 47 0A 65 68 7A 66 35 78 
24,15:10:46.715,0x290DB1D5,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 0A 6A 47 42 4D 73 4C 49 
25,15:10:46.715,0x290DB1D6,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 52 58 4E 50 49 4B 73 4F 
26,15:10:46.715,0x290DB1D7,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 62 54 41 34 6D 4F 6B 66 
27,15:10:46.715,0x290DB1D8,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 47 76 34 37 58 64 33 77 
28,15:10:46.715,0x290DB1D9,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 6B 72 34 54 4E 35 78 6F 
29,15:10:46.715,0x290DB1DA,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 59 61 7A 73 54 5A 58 49 
30,15:10:46.715,0x290DB1DB,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 57 52 6F 58 4E 41 71 68 
31,15:10:46.715,0x290DB1DC,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 47 70 33 7A 72 75 65 5A 
32,15:10:46.715,0x290DB1DE,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 35 48 67 30 72 4F 61 4B 
33,15:10:46.715,0x290DB1DF,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 73 56 54 2B 0A 56 7A 69 
34,15:10:46.715,0x290DB1E0,ch1,接收,0x0321,数据帧,标准帧,0x08,x| 53 55 68 45 55 67 41 41 
