序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,Data
1325,13:36:11.593,0x8D036B5,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 4F 70 65 6E 20 43 61 6D 
1326,13:36:11.593,0x8D036B7,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 65 72 61 20 73 75 63 63 
1327,13:36:11.593,0x8D036B9,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 65 73 73 21 21 0A 43 68 
1328,13:36:11.593,0x8D036BA,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 75 6E 6B 49 44 3A 30 0A 
1329,13:36:11.593,0x8D036BC,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 69 56 42 4F 52 77 30 4B 
1330,13:36:11.593,0x8D036BE,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 47 67 6F 41 41 41 41 4E 
1331,13:36:11.593,0x8D036C0,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 53 55 68 45 55 67 41 41 
1332,13:36:11.593,0x8D036C2,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 42 34 41 41 41 41 51 34 
1333,13:36:11.593,0x8D036C3,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 43 41 59 41 41 41 44 6F 
1334,13:36:11.593,0x8D036C5,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 30 38 46 44 41 41 41 41 
1335,13:36:11.593,0x8D036C7,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 42 48 4E 43 53 56 51 49 
1336,13:36:11.593,0x8D036C9,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 43 41 67 49 66 41 68 6B 
1337,13:36:11.593,0x8D036CA,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 69 41 41 41 49 41 42 4A 
1338,13:36:11.593,0x8D036CD,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 52 45 46 55 0A 65 4A 79 
1339,13:36:11.593,0x8D036CF,ch1,接收,0x0100,数据帧,标准帧,0x04,x| 63 6E 66 75 
1340,13:36:11.623,0x8D03786,ch1,接收,0x0100,数据帧,标准帧,0x08,x| 6F 70 69 4F 2F 78 65 47 
